symbol,open_time,close_time,direction,confidence,entry,sl,tp,sl_pips,tp_pips,outcome,pnl_pips
EURGBPm,2025-04-07 00:00:00,2025-04-11 00:00:00,BUY,0.7521,0.84985,0.83859,0.86674,112.6,168.9,TP,168.9
EURGBPm,2025-04-07 04:00:00,2025-04-11 00:00:00,BUY,0.8039,0.8532,0.84112,0.87132,120.8,181.2,TP,181.2
EURGBPm,2025-04-07 08:00:00,2025-04-11 08:00:00,BUY,0.7496,0.85542,0.84332,0.87356,121.0,181.4,TP,181.4
EURGBPm,2025-04-08 08:00:00,2025-04-11 00:00:00,BUY,0.645,0.85573,0.84499,0.87185,107.4,161.2,TP,161.2
EURGBPm,2025-04-08 12:00:00,2025-04-11 00:00:00,BUY,0.779,0.85467,0.84422,0.87034,104.5,156.7,TP,156.7
EURGBPm,2025-04-08 16:00:00,2025-04-11 08:00:00,BUY,0.7427,0.85761,0.84738,0.87296,102.3,153.5,TP,153.5
EURGBPm,2025-04-08 20:00:00,2025-04-11 08:00:00,BUY,0.5963,0.85861,0.84904,0.87297,95.7,143.6,TP,143.6
EURGBPm,2025-04-09 20:00:00,2025-04-11 00:00:00,BUY,0.6632,0.85396,0.84353,0.8696,104.3,156.4,TP,156.4
EURGBPm,2025-04-10 00:00:00,2025-04-11 00:00:00,BUY,0.8813,0.85493,0.84456,0.87049,103.7,155.6,TP,155.6
EURGBPm,2025-04-10 04:00:00,2025-04-11 08:00:00,BUY,0.8002,0.85639,0.84546,0.87278,109.3,163.9,TP,163.9
EURGBPm,2025-04-10 08:00:00,2025-04-11 08:00:00,BUY,0.7697,0.85613,0.84484,0.87307,112.9,169.4,TP,169.4
EURGBPm,2025-04-10 12:00:00,2025-04-15 20:00:00,BUY,0.8217,0.865,0.85232,0.88402,126.8,190.2,SL,-126.8
EURGBPm,2025-04-10 20:00:00,2025-04-15 12:00:00,BUY,0.6024,0.86661,0.8537,0.88598,129.1,193.7,SL,-129.1
EURGBPm,2025-04-15 16:00:00,2025-05-11 20:00:00,BUY,0.6692,0.85311,0.84481,0.86557,83.0,124.6,SL,-83.0
EURGBPm,2025-04-15 20:00:00,2025-05-09 16:00:00,BUY,0.815,0.85367,0.8458,0.86548,78.7,118.1,SL,-78.7
EURGBPm,2025-04-16 00:00:00,2025-05-06 08:00:00,BUY,0.755,0.85532,0.84731,0.86734,80.1,120.2,SL,-80.1
EURGBPm,2025-04-16 04:00:00,2025-04-28 12:00:00,BUY,0.5793,0.85729,0.84968,0.8687,76.1,114.1,SL,-76.1
EURGBPm,2025-04-16 12:00:00,2025-04-25 12:00:00,BUY,0.5608,0.85942,0.85172,0.87098,77.0,115.6,SL,-77.0
EURGBPm,2025-11-30 20:00:00,2025-12-04 12:00:00,BUY,0.6223,0.87623,0.87218,0.8823,40.5,60.7,SL,-40.5
EURGBPm,2026-02-06 00:00:00,2026-02-19 12:00:00,SELL,0.6315,0.86994,0.87489,0.86252,49.5,74.2,SL,-49.5
EURJPYm,2024-05-06 00:00:00,2024-05-14 08:00:00,BUY,0.7386,165.66015,163.50294,168.89597,215.7,323.6,TP,323.6
EURJPYm,2024-05-10 20:00:00,2024-05-14 12:00:00,BUY,0.7714,167.75515,166.93315,168.98815,82.2,123.3,TP,123.3
EURJPYm,2024-05-12 20:00:00,2024-05-14 12:00:00,BUY,0.8218,167.82815,166.97251,169.11161,85.6,128.3,TP,128.3
EURJPYm,2024-05-13 00:00:00,2024-05-14 12:00:00,BUY,0.6837,167.76815,166.88036,169.09983,88.8,133.2,TP,133.2
